order_id,customer_id,order_date
1,88,2024-04-14
2,34,2024-11-20
3,63,2024-09-15
4,7,2024-05-08
5,82,2024-02-17
6,36,2024-08-04
7,1,2024-01-23
8,99,2024-06-19
9,82,2024-03-07
10,21,2024-05-14
11,71,2024-08-14
12,55,2024-12-27
13,2,2024-10-14
14,10,2024-02-27
15,20,2024-12-19
16,5,2024-10-06
17,75,2024-07-08
18,19,2024-10-09
19,17,2024-08-08
20,40,2024-01-22
21,6,2024-07-05
22,27,2024-07-02
23,32,2024-12-15
24,14,2024-12-07
25,100,2024-06-30
26,53,2024-10-13
27,96,2024-11-13
28,31,2024-03-20
29,23,2024-03-24
30,4,2024-07-30
31,95,2024-04-01
32,53,2024-06-19
33,95,2024-12-08
34,35,2024-05-07
35,90,2024-03-22
36,49,2024-02-25
37,61,2024-01-20
38,26,2024-04-23
39,45,2024-08-23
40,30,2024-06-05
41,4,2024-04-24
42,25,2024-12-03
43,43,2024-07-23
44,9,2024-05-22
45,45,2024-05-22
46,66,2024-11-24
47,87,2024-07-23
48,43,2024-10-01
49,15,2024-01-15
50,23,2024-05-13
51,34,2024-10-24
52,14,2024-01-20
53,56,2024-11-01
54,94,2024-06-25
55,56,2024-06-09
56,66,2024-11-06
57,50,2024-02-29
58,25,2024-10-22
59,6,2024-05-10
60,56,2024-12-28
61,67,2024-01-01
62,88,2024-10-02
63,26,2024-12-09
64,56,2024-07-05
65,86,2024-02-05
66,80,2024-06-18
67,85,2024-06-09
68,93,2024-03-04
69,65,2024-06-02
70,86,2024-06-07
71,42,2024-07-28
72,90,2024-07-25
73,71,2024-05-31
74,25,2024-03-06
75,86,2024-08-03
76,87,2024-07-13
77,79,2024-03-30
78,39,2024-10-18
79,71,2024-07-26
80,39,2024-01-01
81,27,2024-05-26
82,75,2024-08-08
83,84,2024-11-06
84,60,2024-06-13
85,57,2024-08-14
86,28,2024-12-11
87,61,2024-09-18
88,85,2024-03-27
89,37,2024-02-13
90,85,2024-09-20
91,80,2024-11-20
92,12,2024-06-20
93,87,2024-04-30
94,29,2024-06-07
95,19,2024-04-11
96,6,2024-01-13
97,61,2024-05-05
98,99,2024-11-08
99,59,2024-02-07
100,81,2024-07-31
101,25,2024-10-21
102,50,2024-12-22
103,52,2024-09-10
104,19,2024-05-04
105,89,2024-12-01
106,97,2024-01-03
107,100,2024-02-24
108,29,2024-08-05
109,90,2024-03-31
110,60,2024-09-22
111,72,2024-01-26
112,16,2024-05-07
113,18,2024-08-21
114,86,2024-08-25
115,72,2024-09-28
116,41,2024-10-31
117,79,2024-08-14
118,55,2024-09-15
119,58,2024-10-07
120,96,2024-03-22
121,58,2024-08-31
122,97,2024-05-12
123,82,2024-05-06
124,99,2024-05-21
125,63,2024-09-23
126,31,2024-11-16
127,57,2024-05-20
128,92,2024-02-09
129,31,2024-05-26
130,43,2024-05-19
131,70,2024-06-12
132,18,2024-02-11
133,30,2024-03-18
134,89,2024-07-15
135,91,2024-03-19
136,9,2024-04-19
137,53,2024-07-31
138,70,2024-06-18
139,54,2024-08-26
140,27,2024-02-01
141,50,2024-08-03
